id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
259128a8-f830-44ca-b86a-18d135f41b8e,Luan Ramos,1969-04-04,912.479.380-78,53009-581,Cavalcanti de Goiás,RS,Brasil,M,(021) 1598 6731,91247938078@exemplo.com.br,2023-10-13
6a9ac163-e123-45f0-8cb5-478c9c05ad56,Emanuella Moura,1977-10-05,800.736.210-62,71297219,Cardoso Alegre,CE,Brasil,F,+55 61 3055-9955,80073621062@exemplo.com.br,2025-01-07
8d744001-1b4e-4298-b804-db9b75e1ffcb,Kamilly Pereira,1952-07-26,807.326.083-27,10004-379,das Neves Grande,MG,Brasil,F,+55 (031) 3202 7693,80732608327@exemplo.com.br,2023-10-22
9912003d-b5e8-448d-a98e-0ede2e678a86,João Guilherme Câmara,1972-08-27,489.573.614-68,96977688,Rocha dos Dourados,RO,Brasil,M,+55 (011) 4148 6869,48957361468@exemplo.com.br,2024-02-16
adedc9a2-53a6-431b-9b40-8357a0b4a2d8,Sra. Stella Castro,1992-01-17,306.587.741-20,91162215,Cassiano do Campo,RJ,Brasil,M,0800-506-1691,30658774120@exemplo.com.br,2024-02-24
adfdf12d-2775-4bb2-b615-92c498ff352f,Srta. Heloísa Lima,1980-09-23,703.617.213-19,98808209,da Mata de Leão,MA,Brasil,F,(021) 4643-0009,70361721319@exemplo.com.br,2024-04-06
53105412-4cee-4051-bdff-ee05e7365367,Diego Azevedo,1939-05-29,646.058.638-14,93112079,Fonseca do Amparo,PR,Brasil,F,(021) 3830 8000,64605863814@exemplo.com.br,2024-05-02
0108b40d-2238-445d-95a9-47546c25f854,Luiz Miguel Carvalho,1983-08-06,569.382.703-75,47648617,Mendes,RS,Brasil,F,(081) 3704-8673,56938270375@exemplo.com.br,2025-04-27
1c628455-d22b-421e-b29e-a23a49351f80,Sr. Thomas Lopes,1984-06-18,787.197.928-48,70289256,Fonseca,MA,Brasil,M,11 9565 9150,78719792848@exemplo.com.br,2024-07-01
be8fed42-4791-44cf-a0e9-00ec37311d45,Miguel Rios,1992-03-05,556.790.028-94,13679379,Siqueira,AL,Brasil,M,0500-852-7450,55679002894@exemplo.com.br,2024-12-03
134cfa20-bcac-41a8-b8ad-527990767c64,Brenda Viana,1960-08-26,771.589.046-77,72294932,Alves,GO,Brasil,F,(051) 3108-3891,77158904677@exemplo.com.br,2023-08-28
e5833b7e-cd81-451f-ab42-6d93b464c0cb,Melina Pereira,1998-04-21,094.269.494-34,61403881,Casa Grande,SC,Brasil,M,21 7516-4872,09426949434@exemplo.com.br,2024-06-24
aa0f0524-8e63-4b20-9acc-beb0a4745190,Vitor Gabriel da Luz,1970-08-11,489.016.099-85,69522-301,Rodrigues,AL,Brasil,M,+55 (011) 4505-0117,48901609985@exemplo.com.br,2025-01-31
5eb795af-248c-48f4-b34f-df24d8d9a278,Alana Camargo,1981-10-29,668.256.610-47,91832064,Fonseca,TO,Brasil,F,+55 21 9580-0166,66825661047@exemplo.com.br,2024-01-14
58dd1aee-b364-4f28-a997-4af2a2386e49,Caleb Souza,1998-09-04,595.514.258-26,32766-339,Araújo das Flores,RS,Brasil,M,+55 61 3542-3351,59551425826@exemplo.com.br,2025-02-16
8fa575dc-e4f9-45cd-ac54-4fd71263d48d,Sr. Nathan Rocha,1939-06-19,746.044.922-46,00878-472,Silveira de Pacheco,SP,Brasil,F,0900-749-4706,74604492246@exemplo.com.br,2024-06-16
0c1a7626-e75b-46c7-9287-ab882d0f8350,Levi Macedo,1994-11-19,386.841.979-17,27418-542,Ferreira,RJ,Brasil,F,84 3564-0225,38684197917@exemplo.com.br,2024-04-28
500ea1d5-6c26-42b4-9213-7b2d293d8ee8,Diogo Souza,1941-04-07,457.240.890-07,70564597,Fogaça,PR,Brasil,F,+55 51 4864 1230,45724089007@exemplo.com.br,2025-01-19
ecad7675-b844-443f-8086-18532a52b488,Hellena Mendonça,1987-05-23,330.043.718-05,53899297,Casa Grande,TO,Brasil,M,0300 037 4691,33004371805@exemplo.com.br,2024-02-25
3f67ce4c-0e6a-47ec-bc89-f22c1aaabf71,Srta. Isabela Nogueira,1935-06-16,653.884.217-49,17593-829,Cardoso,PR,Brasil,F,0500 730 3571,65388421749@exemplo.com.br,2025-05-09
2aa3f7ef-9921-4ad7-9636-e39e68f59b94,Caroline Vieira,1940-03-17,605.587.616-07,74000332,Marques Grande,MS,Brasil,M,41 2325-2636,60558761607@exemplo.com.br,2024-10-12
564e5e2e-3104-4be2-a73c-b53fadb51891,Ana Carolina Câmara,1937-09-16,205.010.674-19,68143-597,Costa,PB,Brasil,F,(051) 9142-2812,20501067419@exemplo.com.br,2025-02-04
be560a23-e038-487b-8f05-01bddb4a9da5,Vitor Hugo Fonseca,1937-08-05,420.635.028-75,53195967,Cunha,SE,Brasil,M,+55 (071) 4030 2475,42063502875@exemplo.com.br,2025-04-07
5a1bac83-ced5-4e74-a62f-865920f9ef2e,Bruna Martins,2001-04-30,159.003.290-54,17799244,da Cunha da Prata,MT,Brasil,F,+55 (041) 2219 3069,15900329054@exemplo.com.br,2024-03-03
a03540b3-ad76-4509-828e-b4e83a0b3486,Luara Pimenta,1956-10-05,168.542.329-06,79080-065,Duarte,BA,Brasil,F,0500-192-5242,16854232906@exemplo.com.br,2023-08-12
9aeebfdf-40fc-4c33-b62b-f7d54dd70602,Dom Martins,1974-10-19,480.785.694-04,80962-389,Moura,MS,Brasil,M,+55 51 0337 7000,48078569404@exemplo.com.br,2024-09-28
6f3cf0e1-b552-4ab1-82a8-5be3625cbb2f,Sofia Gomes,1965-07-07,512.566.727-56,95434-470,Mendes do Amparo,AP,Brasil,M,+55 (011) 6153-6316,51256672756@exemplo.com.br,2025-04-25
6f95990b-759f-422f-af0f-95c2efcd4a48,Olivia Moura,1990-12-24,260.128.593-95,91129935,Pimenta de Farias,SE,Brasil,M,(021) 4360 8889,26012859395@exemplo.com.br,2024-01-19
499f2b16-621a-44ba-a44c-b37eb7cfee25,Dra. Ana Cecília Duarte,1980-01-12,580.263.916-69,88929-778,Casa Grande do Campo,AL,Brasil,M,31 7142-8219,58026391669@exemplo.com.br,2024-09-22
c237599b-2794-4708-866a-56d05769a3d4,Hadassa Sales,2006-12-05,376.322.656-05,01207-240,Fernandes,AL,Brasil,F,(021) 4332-4180,37632265605@exemplo.com.br,2025-02-21
b83c7661-2864-4168-9ac2-5f6ce9117a87,Luiz Henrique Pacheco,1960-10-10,135.771.203-63,17719436,Cirino de Minas,PA,Brasil,M,(011) 3662-9004,13577120363@exemplo.com.br,2025-04-06
84bc6317-ec4d-4535-8d7f-06b7f581090a,Milena Guerra,1953-06-16,519.212.780-69,64371-297,Martins do Norte,RN,Brasil,M,+55 (061) 1942 7942,51921278069@exemplo.com.br,2024-06-05
7f5c4cf7-c65f-4f13-ab84-6c73b6c053d8,Sr. Noah Mendonça,1968-07-06,727.747.709-02,92268-429,Mendonça Verde,RN,Brasil,M,84 5885 6042,72774770902@exemplo.com.br,2023-08-16
69360964-36f1-4cd8-89fe-ec6eb5a91e61,Emanuelly Cavalcanti,1999-05-27,950.133.049-96,43597-414,Melo,MT,Brasil,F,+55 51 0286 7422,95013304996@exemplo.com.br,2025-04-17
3bde7cda-e2f1-42c9-8b9b-185d846b49dc,Gabriela Almeida,1993-10-27,353.867.091-80,25040471,Sampaio Alegre,PI,Brasil,F,+55 31 0823 2792,35386709180@exemplo.com.br,2023-07-15
2d89ce70-e34e-4d69-9902-1654e3a4139e,Ana Júlia da Costa,1949-06-14,290.775.012-89,70613883,Andrade,MT,Brasil,F,+55 (081) 0141 3085,29077501289@exemplo.com.br,2024-12-15
ac9e7271-7cd2-406a-a1e9-e8a795f02049,Bento Viana,1981-03-10,527.520.640-10,72492-022,Vargas,PB,Brasil,F,+55 (021) 0307-0942,52752064010@exemplo.com.br,2024-04-30
212112bc-467a-4d92-ac50-dbe46300d333,Sarah Sousa,1940-08-27,360.909.083-21,14888961,Vasconcelos,SC,Brasil,M,+55 (071) 0708-5961,36090908321@exemplo.com.br,2023-07-18
c672bebb-e0cb-4154-b723-077b9c27efb9,Rafael Fonseca,1945-08-21,293.876.376-59,70341555,Rodrigues Alegre,AC,Brasil,F,0800 005 4259,29387637659@exemplo.com.br,2023-09-12
2d2cee96-a69c-4d29-901a-7e0d136b5e9a,Sr. Asafe Moreira,1935-04-16,175.483.245-05,72648412,da Mata,RN,Brasil,F,0500-599-7362,17548324505@exemplo.com.br,2025-03-29
dd6bf803-0281-4041-85ed-79349c8bb302,Dr. Antony Teixeira,1994-02-07,850.131.385-35,69935-261,Pereira de Novais,RR,Brasil,M,(081) 0723-5218,85013138535@exemplo.com.br,2023-10-25
d17b1f56-1c89-443c-8c22-bffdcd4a9b30,Raquel Mendes,1936-02-03,672.338.888-97,25500111,Ramos,AP,Brasil,F,+55 (061) 8200-1817,67233888897@exemplo.com.br,2023-12-26
1841d3d0-dd82-42b0-8c16-893efb600b8c,Ana Luiza Duarte,1948-01-22,557.164.815-17,44462423,da Luz das Flores,AP,Brasil,M,+55 (011) 9668 0068,55716481517@exemplo.com.br,2024-05-25
8aa3f0b6-88fd-44f7-8986-ef20d34df8b7,Samuel Farias,1999-10-23,523.501.941-95,77999-043,Pastor,RO,Brasil,M,+55 61 3605-2594,52350194195@exemplo.com.br,2024-08-02
38afab9c-01e6-4442-934a-cc77826da3e1,Sophia Machado,1936-07-31,490.485.453-16,77026-446,Rocha,RS,Brasil,M,+55 (021) 9123 5252,49048545316@exemplo.com.br,2025-02-06
ad636044-d985-4bad-88e8-20beb8f15f58,Henry Lima,1939-08-19,347.382.624-26,38024-347,Duarte dos Dourados,AC,Brasil,M,0900-483-9111,34738262426@exemplo.com.br,2024-12-16
a815eb2f-7afd-4482-9a43-1fb52598fc05,Heloisa Marques,1940-05-10,936.214.050-50,10390-755,das Neves Paulista,TO,Brasil,F,+55 (084) 3420-1847,93621405050@exemplo.com.br,2024-02-06
fabb6921-1edf-4122-a57e-7c32bde6a075,Sr. João Guilherme Cirino,1944-09-17,128.620.701-94,74104-813,Garcia,PR,Brasil,F,71 8874 3093,12862070194@exemplo.com.br,2024-07-10
f9512f7f-cac1-4f73-8596-345aff784a47,Sophie Gonçalves,1961-05-07,502.760.880-69,47884-828,Pinto,SP,Brasil,F,+55 21 3365-9602,50276088069@exemplo.com.br,2024-09-04
539b8e6e-d1b1-4d89-b07d-95f79e95c176,Gael Henrique Moraes,1942-08-14,238.763.873-67,99767-356,Viana,RS,Brasil,M,+55 (031) 2465-1283,23876387367@exemplo.com.br,2023-11-08
09fe5365-dbc2-48ad-ac8f-ae361a6cb89e,Valentina Costa,1945-03-19,352.409.113-57,28954-975,Marques,TO,Brasil,F,(081) 2905-4205,35240911357@exemplo.com.br,2023-10-21
6118c9c7-31ef-4eb2-a634-f54b0e3c58fc,Clara Gomes,1962-08-05,952.486.075-38,15615-889,da Mota,RJ,Brasil,M,11 3790-6288,95248607538@exemplo.com.br,2024-11-23
fd78a883-d2f0-4c17-ad3f-a4103bdaaa6d,Dra. Valentina Santos,1935-04-09,419.361.746-57,66303-622,Sales,MT,Brasil,M,(011) 7835-0566,41936174657@exemplo.com.br,2024-09-08
f33e4a20-910d-4968-971f-4222b3defdf0,João Guilherme Azevedo,2003-10-10,372.358.992-59,01439-162,Dias,MT,Brasil,M,(021) 9437 7027,37235899259@exemplo.com.br,2023-09-12
c767f2f3-1c0c-429f-892c-9689404a9b10,Ísis Moreira,1946-04-10,800.375.048-63,63560626,Rios de Lima,MA,Brasil,F,84 1137 7987,80037504863@exemplo.com.br,2024-08-06
45a89933-a07e-4403-bb95-0e5c2df7a9fc,Sra. Ana Sophia Nascimento,1973-08-16,718.586.487-67,03128-760,Martins do Norte,BA,Brasil,F,+55 (081) 2960 1996,71858648767@exemplo.com.br,2023-06-26
953686c8-ec2a-464c-9f36-387a2d4d6a41,Ágatha da Rocha,1939-09-10,872.635.940-93,68021495,Oliveira,SC,Brasil,F,81 9104 3437,87263594093@exemplo.com.br,2024-10-31
addc6d20-8536-4ba1-8e64-bbf6b1fa169b,Aylla Rios,1950-03-09,685.685.964-69,19540977,Alves de da Cunha,AP,Brasil,M,+55 81 8814-0526,68568596469@exemplo.com.br,2025-06-01
c1576df3-61b6-4d81-a779-439dd6d79745,Dr. Arthur Lima,1992-02-28,407.516.376-86,07858221,Borges,RO,Brasil,M,(051) 0569 3357,40751637686@exemplo.com.br,2025-05-11
cda8def8-8bcf-43dd-85ea-545b8121670d,Sra. Luiza Nunes,1979-02-09,847.370.870-01,82752503,Oliveira da Praia,MG,Brasil,F,+55 84 0169 8794,84737087001@exemplo.com.br,2024-02-03
622c5b2a-797f-404f-bc5c-4ccf6c40ae11,Lunna Rodrigues,1945-11-17,802.871.136-60,33135344,Gonçalves de da Rosa,CE,Brasil,M,(051) 2541-4017,80287113660@exemplo.com.br,2025-04-26
4a6147a1-0bb0-45ce-9f51-8174c46f6d05,Ana Cecília da Conceição,1967-01-31,959.451.591-57,71532-086,Mendonça Alegre,RJ,Brasil,F,(021) 5100-5084,95945159157@exemplo.com.br,2023-09-30
6838ad5b-ac8c-47b5-bd44-a229731871ac,Yuri Pacheco,1945-02-07,268.445.988-44,68787-615,Carvalho,MG,Brasil,F,+55 (031) 8874-1349,26844598844@exemplo.com.br,2023-09-30
4cfd6135-4a17-4b9a-ba4a-ae456e8812f0,Maria Eduarda da Cunha,1937-06-22,281.176.775-96,26982-076,Vasconcelos do Campo,MS,Brasil,F,+55 (071) 7975-4205,28117677596@exemplo.com.br,2024-04-25
30116956-a5d2-4241-b7be-8bc1dca9e188,Sr. Thales Moraes,2003-01-12,336.855.372-31,23901-842,Vasconcelos,RJ,Brasil,M,(081) 7679-2630,33685537231@exemplo.com.br,2023-10-06
395ed58c-9333-42b0-afce-b98516f4141e,Brenda Barros,1958-11-12,428.164.535-88,61724-906,Sousa de Costa,PE,Brasil,F,0300-343-9427,42816453588@exemplo.com.br,2023-11-23
479cdede-0cc2-488b-88af-e2850e6632d6,Ayla Novais,1958-03-22,381.560.824-76,72550-439,Barbosa do Galho,AC,Brasil,M,+55 21 0935 4566,38156082476@exemplo.com.br,2025-04-08
434bea40-ab6a-4015-9ff7-a6be3bc491a0,Luan Cirino,2000-10-03,386.536.312-41,80090-126,Melo,ES,Brasil,M,11 9996-8444,38653631241@exemplo.com.br,2024-04-16
5e79994d-750b-4e9b-9ed9-7447a4270aa6,Dr. Gustavo Costela,1993-10-10,145.784.026-41,88225739,da Mata do Galho,SC,Brasil,F,(084) 8120 8660,14578402641@exemplo.com.br,2023-07-21
d9317c5f-5a17-4145-9650-dfdda356327c,Isabella Mendonça,1955-02-03,525.936.103-65,69323477,Pereira,SE,Brasil,F,+55 41 9533-1960,52593610365@exemplo.com.br,2024-04-23
954d7d84-286c-4bee-9b15-787c41c128f3,Nicole Albuquerque,1970-11-02,138.900.311-30,98858617,Moura,RS,Brasil,F,+55 (061) 2091-2684,13890031130@exemplo.com.br,2024-06-16
b4d80c05-2a94-47b5-b0e7-6936e9ba7358,Gael Aparecida,2001-01-23,774.625.404-02,80107549,Machado do Norte,MG,Brasil,F,+55 51 8955 2523,77462540402@exemplo.com.br,2024-06-21
6c67c64d-853c-4da2-a798-64bf8ae94531,Lara Nascimento,1949-02-21,642.113.776-12,58235307,Sá,ES,Brasil,M,+55 (084) 0693 7486,64211377612@exemplo.com.br,2023-07-04
10e0c7c0-6ae7-4c64-9972-3934690191de,Arthur Gabriel Pacheco,2001-05-30,890.338.347-04,12374744,Porto,AP,Brasil,M,(041) 6247-9398,89033834704@exemplo.com.br,2024-07-03
b910f9aa-2142-49b0-80f8-8c0ec3ae23e2,João Nascimento,1978-07-31,215.430.195-08,46421-599,Fernandes,PR,Brasil,F,(011) 4804-4171,21543019508@exemplo.com.br,2024-10-13
418a666e-3522-472d-90c3-9010ef98da13,Maria Eduarda Guerra,1988-04-05,549.524.905-13,79168212,Gonçalves das Flores,CE,Brasil,M,(071) 9949 0423,54952490513@exemplo.com.br,2024-09-18
db562ed7-16d4-433b-8a91-c18f1832b0c1,Emanuelly da Mata,1985-01-02,990.517.995-05,95457-430,Sales,AP,Brasil,M,+55 (081) 4881-7623,99051799505@exemplo.com.br,2023-09-01
7b0ecdf9-7474-473d-9fc1-c342b530e294,Stella Pinto,1937-04-21,577.817.479-15,57622714,Camargo das Pedras,MS,Brasil,M,+55 (021) 0772-3145,57781747915@exemplo.com.br,2024-03-06
0aebdafa-19ec-4c7c-90df-0009e614fe31,Daniel Jesus,2005-01-09,127.005.801-90,01662557,Ribeiro do Campo,PR,Brasil,M,(021) 4054-2573,12700580190@exemplo.com.br,2025-02-20
89ed0161-ad75-4f8a-8490-56a78fbd1582,Dra. Maria Júlia Mendes,1942-08-24,350.182.631-90,08800-736,Pereira do Amparo,ES,Brasil,M,+55 (084) 7564 3452,35018263190@exemplo.com.br,2023-08-18
3b775db2-0e43-497c-a00c-2da20a45d91f,Sr. Lorenzo Aragão,1942-07-12,861.921.475-87,69449945,Novais,MA,Brasil,F,(084) 6891 2913,86192147587@exemplo.com.br,2023-11-24
1d838039-1c3f-470a-accf-9a330548a1ab,Caroline Moraes,2004-12-19,083.699.475-74,42829415,Rezende do Norte,BA,Brasil,M,0900-648-3510,08369947574@exemplo.com.br,2024-04-07
46fffd27-6985-443e-b977-66aa0cb7e142,Dr. Gael Henrique Farias,1974-08-26,278.634.634-60,85265768,Nunes do Galho,SE,Brasil,F,31 2163-8228,27863463460@exemplo.com.br,2023-07-21
e797a035-d0c7-4acd-a147-d6047666ef5d,Alana Pacheco,1964-06-06,416.622.777-34,19808-013,Barros,ES,Brasil,F,+55 (081) 7298 2227,41662277734@exemplo.com.br,2025-03-27
5b23753e-fa73-434c-9157-60f00b086e80,Alice da Cunha,1963-08-05,848.267.700-74,62149966,Campos,MS,Brasil,F,81 5422-8637,84826770074@exemplo.com.br,2024-07-02
9446cc16-9c24-4693-83f0-d6ed3fef1985,Raul Novaes,1939-01-09,676.457.657-82,57183533,Mendes da Serra,RN,Brasil,F,31 8169 6529,67645765782@exemplo.com.br,2024-05-07
ebda9909-4fd6-4ec7-a162-00d913e80927,Ester Costa,1967-05-29,073.217.669-10,90717188,Cunha,SP,Brasil,M,84 3490 0299,07321766910@exemplo.com.br,2023-07-09
cced1995-9c42-4410-8807-c4e7484b4db5,Eduarda Souza,1968-03-26,328.788.574-44,37972582,Nunes da Prata,AL,Brasil,M,(031) 2841 1381,32878857444@exemplo.com.br,2024-07-07
2cc308f0-6087-4c47-a90b-a1d033b0b3d6,José Pedro Abreu,1980-07-09,268.503.913-84,39173660,Fonseca das Flores,SP,Brasil,F,71 7561 1922,26850391384@exemplo.com.br,2024-05-19
ff1b8b0c-bf84-4927-b08c-b76b9d4de5af,Lucas Gabriel Ramos,1993-06-13,156.406.132-35,08451979,Pacheco,MT,Brasil,F,61 5477 0789,15640613235@exemplo.com.br,2024-09-11
4f4bfb67-27fa-45df-8bbc-8e2bb79cd668,Valentim Costa,1955-08-15,213.192.383-29,36926933,Marques,PA,Brasil,M,+55 71 5492-0053,21319238329@exemplo.com.br,2025-01-02
ff4aaed7-4ff9-4c94-b6ff-a0b073fa13e4,Ana Liz Ferreira,1969-04-08,894.463.853-50,86633950,Duarte do Oeste,SP,Brasil,F,51 2035 8928,89446385350@exemplo.com.br,2025-03-07
2021a39f-43bb-4a2d-94b0-7308439eefb7,Alexandre Garcia,1976-05-27,094.521.439-01,49090-201,Macedo do Norte,MG,Brasil,F,81 1273 6569,09452143901@exemplo.com.br,2023-10-13
eaa50264-be49-419d-8254-3a6a647bf7b0,Benicio Gonçalves,1970-07-31,966.267.269-16,87113-778,Cirino do Galho,GO,Brasil,M,+55 11 1237 8044,96626726916@exemplo.com.br,2023-07-28
3ddb06da-c923-42cc-8c4d-df665006602a,Júlia da Mata,1994-08-10,191.012.649-55,20430803,Ribeiro do Campo,MA,Brasil,F,+55 31 6310 7612,19101264955@exemplo.com.br,2023-07-26
9566593c-3c1b-4379-9ca2-d80849e97a8b,Srta. Stella Vieira,1938-08-10,252.358.920-83,06867167,Barros de Minas,MT,Brasil,M,(011) 0993-0157,25235892083@exemplo.com.br,2025-04-18
6848ea62-a8b9-4b04-9366-5962b4c2fc2e,Maria Liz da Cruz,1958-07-11,417.022.020-72,21507631,da Luz das Flores,CE,Brasil,F,(041) 6162 5408,41702202072@exemplo.com.br,2023-11-23
ef087bfa-2606-4a1b-aef2-b4b2f7139a32,Oliver Oliveira,1940-09-22,599.276.669-69,20855231,Teixeira,RR,Brasil,M,(051) 4144-7573,59927666969@exemplo.com.br,2025-05-03
630db505-b17b-490c-aadb-47407a6808af,Mariah Nogueira,1984-08-27,085.734.685-79,30426-354,Cunha de Cunha,PR,Brasil,M,0900 192 7854,08573468579@exemplo.com.br,2024-01-25
15d655c8-44d5-4381-a6d1-32594295c35c,Sophie Costela,1942-04-24,771.143.246-04,76285601,da Costa,AC,Brasil,F,(071) 2751-6419,77114324604@exemplo.com.br,2024-06-01
94e7161b-13fc-4cb3-b883-5b3857cb5c2d,Erick Casa Grande,1946-10-20,432.374.944-08,37326-253,Gonçalves,DF,Brasil,M,(061) 3027 6406,43237494408@exemplo.com.br,2025-05-21
bf8ad2e9-bd7a-4f6f-9130-ee6bed06c502,Sr. Fernando Fonseca,1955-06-14,145.954.668-21,89202-700,Brito do Sul,PB,Brasil,M,(071) 6155 6531,14595466821@exemplo.com.br,2025-05-25
23f5f27a-8a66-4f71-8f18-ecde806708de,Gabrielly da Cunha,1972-03-29,617.582.163-63,63376955,Macedo Verde,SC,Brasil,F,84 3782 8596,61758216363@exemplo.com.br,2024-06-19
c4eb0d52-8f54-418f-b242-493d9c3e0841,Beatriz Monteiro,1963-08-07,597.350.189-48,43580-914,da Cunha de Azevedo,RS,Brasil,M,31 2793-1961,59735018948@exemplo.com.br,2024-12-29
f7ca3371-3b62-4fd5-a99a-1b0210a68291,Dra. Anna Liz das Neves,1994-10-27,532.170.857-00,17953117,Mendes,PR,Brasil,M,71 5226 8745,53217085700@exemplo.com.br,2024-08-21
d598f732-05e1-45bb-9526-cce534a34cb0,João Guilherme Silveira,1972-03-20,157.290.315-57,06557-791,Gomes Paulista,DF,Brasil,F,+55 71 9648 6011,15729031557@exemplo.com.br,2024-03-28
4e59f8b0-414d-48c4-bc68-1a5fc67302a8,Júlia Silveira,2002-10-10,341.879.303-24,50366-782,Costa dos Dourados,GO,Brasil,F,51 6812 3928,34187930324@exemplo.com.br,2024-08-03
cf3b277e-1bc1-4c00-933e-e406d2a51ced,Cauê Rocha,1984-11-22,853.523.426-99,67826591,Caldeira,SP,Brasil,M,+55 21 5781 0896,85352342699@exemplo.com.br,2024-05-11
4524136d-6bf7-42fb-bc7b-a62c057f194d,Kaique Vasconcelos,1966-03-28,974.637.449-89,59485296,Sá,RJ,Brasil,M,+55 61 9197 7088,97463744989@exemplo.com.br,2024-10-28
842b025e-b116-48a4-8bac-da1be23ab8a3,Dra. Maitê Alves,1996-05-27,038.897.862-46,27403682,Costela Alegre,RJ,Brasil,F,51 0770 3358,03889786246@exemplo.com.br,2025-06-22
ff455ecd-ea50-4a9c-b665-cae0afe30c19,Davi Miguel Leão,1977-11-08,263.322.992-67,70168-730,Cavalcante,SC,Brasil,F,(011) 4224-4972,26332299267@exemplo.com.br,2023-12-20
39d4ef2e-9bad-4062-a929-1272aab6d9dc,Maria Clara Rios,1990-01-03,441.788.449-69,52039-819,Costela de Pereira,MS,Brasil,M,21 4753 1756,44178844969@exemplo.com.br,2023-12-26
8b6f506e-161e-4b9e-809c-36b0573f6e2b,Thales da Costa,1985-01-20,927.042.049-73,04866-241,Marques,RR,Brasil,M,+55 21 1314-4037,92704204973@exemplo.com.br,2024-06-04
f6f7d545-bc94-42c6-97ee-3ca792ca4637,João Guilherme Mendes,1951-02-14,491.895.093-03,21791-590,Sousa de Guerra,MS,Brasil,M,+55 (081) 2843-7469,49189509303@exemplo.com.br,2025-04-04
